material	A	A'	B	parentA	parentA'	parentB	T	d_star	k_star	ead	eak	e affinity(A)	e affinity(B)	A-site radius	B-site radius	Dopant r Diff (A)	Dopant r Diff (B)	B cation	d-electron count (B)	t_factor	a_site_electronegativity	b_site_electronegativity	electro_diff	family	somethingelse
GdBaCo_2O_(5+x)	{'Gd':1}	{'Ba':1}	{'Co':1}	Gd	Ba	Co	1000	1.80E-09	1.20E-06	0.6	0.81	0.14081	0.66333	/	/	/	/	-	/	/	/	/	/	Double Perovskite	
La_(0.8)Sr_(0.2)CoO_(3+x)	{'La':0.8, 'Sr':0.2}	-	{'Co':1}	La	-	Co	1000	2.40E-10	1.80E-07	2.2	1.3	0.3864	0.66333	1.376	0.545	-0.016	0	Co3+	6	0.984863968	1.07	1.88	-0.81	Perovskite	
La_(0.8)Sr_(0.2)Mn_(0.5)Co_(0.5)O_(3+x)	{'La':0.8, 'Sr':0.2}	-	{'Mn':0.5, 'Co':0.5}	La	-	-	1000	5.90E-14	8.4E-09	2.7E+00	1.2	0.3864	-0.168335	1.376	0.5575	-0.016	0.0125	.5*Mn3+/.5*Co3+	5	0.97821686	1.07	1.715	-0.645	Perovskite	
La_(0.8)Sr_(0.2)Mn_(0.7)Co_(0.3)O_(3+x)	{'La':0.8, 'Sr':0.2}	-	{'Mn':0.7, 'Co':0.3}	La	-	-	1000	6.30E-15	1.5E-09	3.0E+00	1.7	0.3864	-0.501001	1.376	0.5625	-0.016	0.0075	0.7*Mn3+/0.3*Co3+	4.6	0.975558017	1.07	1.649	-0.579	Perovskite	
La_(0.8)Sr_(0.2)Mn_(0.8)Co_(0.2)O_(3+x)	{'La':0.8, 'Sr':0.2}	-	{'Mn':0.8, 'Co':0.2}	La	-	-	1000	6.20E-16	5.3E-10	3.5E+00	2.1	0.3864	-0.667334	1.376	0.565	-0.016	0.005	0.8*Mn3+/0.2*Co3+	4.4	0.974228595	1.07	1.616	-0.546	Perovskite	
La_(0.8)Sr_(0.2)MnO_(3+x)	{'La':0.8, 'Sr':0.2}	-	{'Mn':1}	La	-	-	1000	8.90E-16	1.5E-09	2.8E+00	1.3	0.3864	-1	1.376	0.57	-0.016	0	Mn3+	4	0.971569752	1.07	1.55	-0.48	Perovskite	
La(0.5)Sr(0.5)CoO(3+x)	{'La':0.5, 'Sr':0.5}	-	{'Co':1}	La	-	Co	1000	2.30E-08	5.60E-06	1.40E+00	0.81	0.261	0.66333	1.4	0.545	-0.04	0	Co3+	6	1.005731028	1.025	1.88	-0.855	Perovskite	
La(0.5)Sr(0.5)Mn(0.8)Co(0.2)O(3+x)	{'La':0.5, 'Sr':0.5}	-	{'Mn':0.8, 'Co':0.2}	La	-	-	1000	5.90E-14	1.30E-08	2.94E+00	1.05	0.261	-0.667334	1.4	0.565	-0.04	0.005	0.8*Mn3+/0.2*Co3+	4.4	0.99908392	1.025	1.616	-0.591	Perovskite	
La(0.5)Sr(0.5)MnO(3+x)	{'La':0.5, 'Sr':0.5}	-	{'Mn':1}	La	-	Mn	1000	1.80E-15	1.80E-09	3.55E+00	2.23	0.261	-1	1.4	0.57	-0.04	0	Mn3+	4	0.997422142	1.025	1.55	-0.525	Perovskite	
PrBaCo_2O_(5+x)	{'Pr':1}	{'Ba':1}	{'Co':1}	Pr	Ba	Co	600	4.00E-08	3.4E-06	4.80E-01	0.68	0.962	0.66333	/	/	/	/	-	/	/	/	/	/	Double Perovskite	
La(2)NiO(4+x)	{'La':1}	-	{'Ni':1}	La	-	Ni	1000	6.10E-08	2.90E-07	8.50E-01	1.61	0.47	1.15716	1.216	0.48	0	0	Ni3+	7	0.975807358	1.1	1.91	-0.81	Ruddlesden-Popper	
La_(1.9)Sr_(0.1)NiO_(4+x)	{'La':0.95, 'Sr':0.05}	-	{'Ni':1}	La	-	Ni	1000	1.20E-08	3.70E-07	5.70E-01	1.29	0.4491	1.15716	1.2207	0.48	-0.0047	0	Ni3+	7	0.980426119	1.0925	1.91	-0.8175	Ruddlesden-Popper	
La_(0.3)Sr_(0.7)CoO_(3-x)	{'La':0.3, 'Sr':0.7}	-	{'Co':1}	La	-	Co	1000	8.40E-07	1.20E-05	2.90E-01	0.58	0.1774	0.66333	1.416	0.545	-0.056	0	Co3+	6	1.019642401	0.995	1.88	-0.885	Perovskite	
La_(0.9)Sr_(0.1)Ga_(0.8)Mg_(0.2)O_(3)	{'La':0.9, 'Sr':0.1}	-	{'Ga':0.8, 'Mg':0.2}	La	-	Ni	1000	1.60E-07	6.00E-08	7.90E-01	1.57	0.4282	0.128	1.368	0.64	-0.008	-0.02	0.8*Ga3+/0.2*Mg3+	8.2	/	1.085	1.71	-0.625	Perovskite	
La_(2)NiO_(4+x)	{'La':1}	-	{'Ni':1}	La	-	-	1000	6.40E-08	2.50E-06	8.70E-01	0.44	0.47	1.15716	1.216	0.48	0	0	Ni3+	7	0.975807358	1.1	1.91	-0.81	Ruddlesden-Popper	
La_(2)Ni_(0.75)Cu_(0.25)O_(4+x)	{'La':1}	-	{'Ni':0.75, 'Cu':0.25}	La	-	-	1000	3.80E-08	1.60E-06	6.40E-01	1.24	0.47	1.176815	1.216	0.495	0	-0.015	0.75*Ni3+/0.25*Cu3+	7.25	0.98335226	1.1	1.9075	-0.8075	Ruddlesden-Popper	
La_(2)Ni_(0.5)Cu_(0.5)O_(4+x)	{'La':1}	-	{'Ni':0.5, 'Cu':0.5}	La	-	-	1000	3.00E-08	7.60E-07	6.50E-01	1.23	0.47	1.19647	1.216	0.51	0	-0.03	0.5*Ni3+/0.5*Cu3+	7.5	0.990897163	1.1	1.905	-0.805	Ruddlesden-Popper	
La_(2)Ni_(0.25)Cu_(0.75)O_(4+x)	{'La':1}	-	{'Ni':0.25, 'Cu':0.75}	La	-	-	1000	2.30E-08	4.10E-07	7.30E-01	1.37	0.47	1.216125	1.216	0.525	0	-0.045	0.25*Ni3+/0.75*Cu3+	7.75	0.998442065	1.1	1.9025	-0.8025	Ruddlesden-Popper	
La_(2)CuO_(4+x)	{'La':1}	-	{'Cu':1}	La	-	Cu	1000	2.00E-08	1.50E-06	1.18E+00	0.61	0.47	1.23578	1.216	0.54	0	0	Cu3+	8	1.005986967	1.1	1.9	-0.8	Ruddlesden-Popper	
La_(0.5)Sr_(0.5)CoO_(3-x)	{'La':0.5, 'Sr':0.5}	-	{'Co':1}	La	-	Co	1000	9.90E-08	3.90E-08	1.38E+00	0.69	0.261	0.66333	1.4	0.545	-0.04	0	Co3+	6	1.005731028	1.025	1.88	-0.855	Perovskite	
La_2NiO_(4+x)	{'La':1}	-	{'Ni':1}	La	-	Ni	1000	3.50E-08	2.60E-07	5.90E-01	1.29	0.47	1.15716	1.216	0.48	0	0	Ni3+	7	0.975807358	1.1	1.91	-0.81	Ruddlesden-Popper	
La_2Ni_(0.9)Co_(0.1)O_(4+x)	{'La':1}	-	{'Ni':0.9, 'Co':0.1}	La	-	-	1000	3.10E-08	1.60E-06	6.20E-01	0.58	0.47	1.107774	1.216	0.485	0	-0.005	0.9*Ni3+/0.1*Co3+	6.9	0.975321882	1.1	1.907	-0.807	Ruddlesden-Popper	
La_2Ni_(0.8)Co_(0.2)O_(4+x)	{'La':1}	-	{'Ni':0.8, 'Co':0.2}	La	-	-	1000	4.20E-08	1.20E-06	7.00E-01	0.31	0.47	1.058388	1.216	0.49	0	-0.01	0.8*Ni3+/0.2*Co3+	6.8	0.974836405	1.1	1.904	-0.804	Ruddlesden-Popper	
La_2Ni_(0.5)Co_(0.5)O_(4+x)	{'La':1}	-	{'Ni':0.5, 'Co':0.5}	La	-	-	1000	5.80E-08	1.20E-06	7.40E-01	0.27	0.47	0.91023	1.216	0.505	0	-0.025	0.5*Ni3+/0.5*Co3+	6.5	0.973379977	1.1	1.895	-0.795	Ruddlesden-Popper	
La_(0.6)Sr_(0.4)Fe_(0.6)Ga_(0.4)O_(3-x)	{'La':0.6, 'Sr':0.4}	-	{'Fe':0.6, 'Ga':0.4}	La	-	-	1000	4.90E-08	5.90E-07	8.60E-01	0.93	0.3028	0.2546	1.392	0.578	-0.032	-0.028	0.6*Fe3+/0.4*Ga3+	6.6	/	1.04	1.822	-0.782	Perovskite	
La_(0.6)Sr_(0.4)Fe_(0.9)Ga_(0.1)O_(3-x)	{'La':0.6, 'Sr':0.4}	-	{'Fe':0.9, 'Ga':0.1}	La	-	-	1000	1.10E-08	4.30E-07	1.22E+00	0.83	0.3028	0.1769	1.392	0.557	-0.032	-0.007	0.9*Fe3+/0.1*Ga3+	5.4	/	1.04	1.828	-0.788	Perovskite	
La_(0.8)Sr_(0.2)Fe_(0.7)Ga_(0.3)O_(3-x)	{'La':0.8, 'Sr':0.2}	-	{'Fe':0.7, 'Ga':0.3}	La	-	-	1000	4.40E-10	1.90E-07	1.69E+00	0.88	0.3864	0.2287	1.376	0.571	-0.016	-0.021	0.7*Fe3+/0.3*Ga3+	6.2	/	1.07	1.824	-0.754	Perovskite	
La_(0.9)Sr_(0.1)Fe_(0.9)Ga_(0.1)O_(3-x)	{'La':0.9, 'Sr':0.1}	-	{'Fe':0.9, 'Ga':0.1}	La	-	-	1000	2.80E-12	6.80E-09	2.76E+00	0.93	0.4282	0.1769	1.368	0.557	-0.008	-0.007	0.9*Fe3+/0.1*Ga3+	5.4	/	1.085	1.828	-0.743	Perovskite	
LaMnO(3+x)	{'La':1}	-	{'Mn':1}	La	-	Mn	1000	1.50E-15	3.40E-09	2.5	1.49	0.47	-1	1.36	0.57	0	0	Mn3+	4	0.954334824	1.1	1.55	-0.45	Perovskite	
La(0.9)MnO(3+x)	{'La':1}	-	{'Mn':1}	La	-	Mn	1000	1.20E-15	3.50E-09	3.10E+00	1.69	0.47	-1	1.36	0.57	0	0	Mn3+	4	0.954334824	1.1	1.55	-0.45	Perovskite	
SmCoO3	{'Sm':1}	-	{'Co':1}	Sm	-	Co	1000	2.00E-07	1.50E-05	2.01E+00	1.6	2.17	0.66333	1.24	0.545	0	0	Co3+	6	0.928737265	1.17	1.88	-0.71	Perovskite	
Sm(0.8)Sr(0.2)CoO3	{'Sm':0.8, 'Sr':0.2}	-	{'Co':1}	Sm	-	Co	1000	6.40E-10	1.20E-06	2.10E+00	2.3	1.7464	0.66333	1.28	0.545	-0.04	0	Co3+	6	0.951091704	1.126	1.88	-0.754	Perovskite	
Sm(0.6)Sr(0.4)CoO3	{'Sm':0.6, 'Sr':0.4}	-	{'Co':1}	Sm	-	Co	1000	6.90E-08	9.80E-06	1.50E+00	0.89	1.3228	0.66333	1.312	0.545	-0.08	0	Co3+	6	0.973446143	1.082	1.88	-0.798	Perovskite	
Sm(0.5)Sr(0.5)CoO3	{'Sm':0.5, 'Sr':0.5}	-	{'Co':1}	Sm	-	Co	1000	2.90E-07	1.90E-05	1.20E+00	0.88	1.111	0.66333	1.34	0.545	-0.1	0	Co3+	6	0.984623363	1.06	1.88	-0.82	Perovskite	
Sm(0.4)Sr(0.6)CoO3	{'Sm':0.4, 'Sr':0.6}	-	{'Co':1}	Sm	-	Co	1000	4.00E-13	4.90E-08	1.10E+00	0.61	1.3228	0.66333	1.36	0.545	-0.12	0	Co3+	6	0.995800582	1.038	1.88	-0.842	Perovskite	
La(0.8)Sr(0.2)MnO(3+x)	{'La':0.8, 'Sr':0.2}	-	{'Mn':1}	La	-	Mn	1000	1.00E-14	/	3.07E+00	/	0.3864	-1	1.376	0.57	-0.016	0	Mn3+	4	0.971569752	1.07	1.55	-0.48	Perovskite	
La(0.95)Sr(0.05)MnO(3+x)	{'La':0.95, 'Sr':0.05}	-	{'Mn':1}	La	-	Mn	1000	1.00E-15	/	2.75E+00	/	0.4491	-1	1.364	0.57	-0.004	0	Mn3+	4	0.958643556	1.0925	1.55	-0.4575	Perovskite	
La(0.9)Sr(0.1)MnO(3+x)	{'La':0.9, 'Sr':0.1}	-	{'Mn':1}	La	-	Mn	1000	1.00E-15	/	2.88E+00	/	0.4282	-1	1.368	0.57	-0.008	0	Mn3+	4	0.962952288	1.085	1.55	-0.465	Perovskite	
La(0.85)Sr(0.15)MnO(3+x)	{'La':0.85, 'Sr':0.15}	-	{'Mn':1}	La	-	Mn	1000	1.00E-15	/	2.62E+00	/	0.4073	-1	1.372	0.57	-0.012	0	Mn3+	4	0.96726102	1.0775	1.55	-0.4725	Perovskite	
Nd(1.8)Ca(0.2)NiO(4+x)	{'Nd':0.9, 'Ca':0.1}	-	{'Ni:1'}	Nd	-	Ni	1000	1.30E-08	2.90E-07	7.40E-01	1.32	0.147255	1.15716	1.165	0.48	-0.0017	0	Ni3+	7	/	1.126	1.91	-0.784	Ruddlesden-Popper	
Nd(2)NiO(4+x)	{'Nd':1}	-	{'Ni:1'}	Nd	-	Ni	1000	6.20E-08	4.50E-07	1.07E+00	0.77	0.162	1.15716	1.163	0.48	0	0	Ni3+	7	0.943987553	1.14	1.91	-0.77	Ruddlesden-Popper	
Nd(1.95)NiO(4+x)	{'Nd':1}	-	{'Ni:1'}	Nd	-	Ni	1000	6.70E-08	1.30E-06	9.40E-01	0.84	0.162	1.15716	1.163	0.48	0	0	Ni3+	7	0.943987553	1.14	1.91	-0.77	Ruddlesden-Popper	
Pr(2)NiO(4+x)	{'Pr':1}	-	{'Ni:1'}	Pr	-	Ni	1000	9.20E-08	1.80E-06	7.00E-01	0.72	0.962	1.15716	1.179	0.48	0	0	Ni3+	7	0.844992604	1.13	1.91	-0.78	Ruddlesden-Popper	
La(2)CoO(4+x)	{'La':1}	-	{'Co':1}	La	-	Co	937.21	3.30E-08	/	1.10E-01	/	0.47	0.66333	1.216	0.53	0	0	Co3+	6	0.970952595	1.1	1.88	-0.78	Ruddlesden-Popper	
La(2)Ni(0.2)Co(0.8)O(4+x)	{'La':1}	-	{'Ni':0.2, 'Co':0.8}	La	-	-	769.23	2.10E-08	/	4.90E-01	/	0.47	1.058388	1.216	0.52	0	/	0.2*Ni3+/0.8*Co3+	6.6	/	1.1	1.886	-0.786	Ruddlesden-Popper	
La(2)Ni(0.5)Co(0.5)O(4+x)	{'La':1}	-	{'Ni':0.5, 'Co':0.5}	La	-	-	793.65	9.90E-09	/	1.15E+00	/	0.47	0.91023	1.216	0.505	0	/	0.5*Ni3+/0.5*Co3+	7.5	/	1.1	1.895	-0.795	Ruddlesden-Popper	
La(2)Ni(0.7)Co(0.3)O(4+x)	{'La':1}	-	{'Ni':0.7, 'Co':0.3}	La	-	-	769.23	1.90E-09	/	9.30E-01	/	0.47	1.009	1.216	0.495	0	/	0.7*Ni3+/0.3*Co3+	8.1	/	1.1	1.901	-0.801	Ruddlesden-Popper	
PrBaCo(2)O(5.74)	{'Pr':1}	{'Ba':1}	{'Co':1}	Pr	Ba	Co	623.15	1.57E-10	4.89E-08	1.27E+00	0.58	0.55331	0.66333	/	/	/	/	-	/	/	/	/	/	Double Perovskite	
( La(0.6)Sr(0.4)Co(0.2)Fe(0.8)O(3-x) )_0.4 ( Ce(0.8)Ge(0.2)O(2-x) )_0.189	-	-	-	-	-	-	1000	1.00E-08	1.70E-06	1.56E+00	1.39	/	/	/	/	/	/	-	/	/	/	/	/	Perovskite/Electrolyte	
PrBaCo(2)O(5+x)	{'Pr':1}	{'Ba':1}	{'Co':1}	Pr	Ba	Co	773.99	4.20E-07	9.10E-05	0.54	0.74	0.55331	0.66333	/	/	/	/	-	/	/	/	/	/	Double Perovskite	
La(0.8)Sr(0.2)MnO(3+x)	{'La':0.8, 'Sr':0.2}	-	{'Mn':1}	La	-	Mn	973.71	1.40E-16	2.00E-10	3.2	2.13	0.3864	-1	1.376	0.57	-0.016	0	Mn3+	4	0.971569752	1.07	1.55	-0.48	Perovskite	
La(0.8)Sr(0.2)MnO(3+x)	{'La':0.8, 'Sr':0.2}	-	{'Mn':1}	La	-	Mn	971.82	3.10E-16	9.20E-10	2.80E+00	1.33	0.3864	-1	1.376	0.57	-0.016	0	Mn3+	4	0.971569752	1.07	1.55	-0.48	Perovskite	
Ba(0.5)Sr(0.5)Co(0.8)Fe(0.2)O(3-x)	{'Ba':0.5, 'Sr':0.5}	-	{'Co':0.8, 'Fe':0.2}		-	-	873.36	1.90E-08	4.80E-06	8.20E-01	0.6	0.09831	1.01882	1.525	0.546	0.085	-0.001	0.8*Co3+/0.2*Fe3+	5.8	1.065712846	0.92	1.87	-0.95	Perovskite	
Ba(0.5)Sr(0.5)Co(0.8)Fe(0.2)O(3-x)	{'Ba':0.5, 'Sr':0.5}	-	{'Co':0.8, 'Fe':0.2}		-	-	872.6	9.80E-09	7.10E-07	1.01E+00	1.98	0.09831	1.01882	1.525	0.546	0.085	-0.001	0.8*Co3+/0.2*Fe3+	5.8	1.065712846	0.92	1.87	-0.95	Perovskite	
Ba(0.5)Sr(0.5)Co(0.8)Fe(0.2)O(3-x)	{'Ba':0.5, 'Sr':0.5}	-	{'Co':0.8, 'Fe':0.2}		-	-	691.09	4.30E-08	1.40E-08	5.00E-01	1.64	0.09831	1.01882	1.525	0.546	0.085	-0.001	0.8*Co3+/0.2*Fe3+	5.8	1.065712846	0.92	1.87	-0.95	Perovskite	
La(2)Cu(0.5)Ni(0.5)O(4+x)	{'La':1}	-	{'Cu':0.5, 'Ni':0.5}	La	-	-	993.04	2.80E-08	/	6.50E-01	/	0.47	1.19647	1.216	0.51	0	0.03	0.5*Cu3+/0.5*Ni3+	7.5	0.990897163	1.1	1.905	-0.805	Ruddlesden-Popper	
La(2)NiO(4+x)	{'La':1}	-	{'Ni':1}	La	-	Ni	695.89	1.60E-09	3.50E-09	5.40E-01	0.63	0.47	1.15716	1.216	0.48	0	0	Ni3+	7	0.975807358	1.1	1.91	-0.81	Ruddlesden-Popper	
La(2)NiO(4+x)	{'La':1}	-	{'Ni':1}	La	-	Ni	1000	9.60E-08	2.40E-06	0.9	0.42	0.47	1.15716	1.216	0.48	0	0	Ni3+	7	0.975807358	1.1	1.91	-0.81	Ruddlesden-Popper	
La(2)NiO(4+x)	{'La':1}	-	{'Ni':1}	La	-	Ni	1000	6.40E-08	2.20E-06	8.80E-01	0.74	0.47	1.15716	1.216	0.48	0	0	Ni3+	7	0.975807358	1.1	1.91	-0.81	Ruddlesden-Popper	
La(2)NiO(4+x)	{'La':1}	-	{'Ni':1}	La	-	Ni	1000	4.00E-09	4.90E-07	2.20E-01	0.86	0.47	1.15716	1.216	0.48	0	0	Ni3+	7	0.975807358	1.1	1.91	-0.81	Ruddlesden-Popper	
PrBaCo(2)O(5+x)	{'Pr':1}	{'Ba':1}	{'Co':1}	Pr	Ba	Co	600	1.30E-11	1.30E-09	1.02E+00	0.89	0.55331	0.66333	/	/	/	/	-	/	/	/	/	/	Double Perovskite	
La(1.85)Sr(0.15)CuO(4+x)	{'La':0.925, 'Sr':0.075}	-	{'Cu':1}	La	-	Cu	1000	3.60E-12	4.60E-08	7.60E-01	1.6	0.43865	1.23578	1.22305	0.54	-0.00705	0	Cu3+	8	/	1.08875	1.9	-0.81125	Ruddlesden-Popper	
La(1.85)Sr(0.15)CuO(4+x)	{'La':0.925, 'Sr':0.075}	-	{'Cu':1}	La	-	Cu	1000	4.30E-14	4.60E-08	1.02E+00	1.6	0.43865	1.23578	1.22305	0.54	-0.00705	0	Cu3+	8	/	1.08875	1.9	-0.81125	Ruddlesden-Popper	
La(2)CuO(4+x)	{'La':1}	-	{'Cu':1}	La	-	Cu	1000	3.70E-08	2.00E-07	8.40E-01	1.3	0.47	1.23578	1.216	0.54	0	0	Cu3+	8	1.005986967	1.1	1.9	-0.8	Ruddlesden-Popper	
La(2)CuO(4+x)	{'La':1}	-	{'Cu':1}	La	-	Cu	1000	6.70E-10	2.00E-07	9.70E-01	1.3	0.47	1.23578	1.216	0.54	0	0	Cu3+	8	1.005986967	1.1	1.9	-0.8	Ruddlesden-Popper	
