material,avg_m_no_oxygen,avg_r_no_oxygen,avg_r_diff,avg_m_w_oxygen,avg_r_w_oxygen,parent perovskite 1,parent perovskite 2,parent perovskite 3,parent perovskite 4,t_factor,a_site_electronegativity,b_site_electronegativity,electro_diff,T,family,sample_type,measurement_direction,Note,Direction,Substrate,measurement_type,d_star,k_star,ead,eak,First Author,Second Author,Year,DOI,HHI Production average - with oxygen,HHI Production average - without oxygen,HHI Reserve average - with oxygen,HHI Reserve average - without oxygen,Doping Group
La(0.8)Sr(0.2)CoO(3-x),47.1,102.2,1,93.8,165.5,LaCo,SrCo,,,0.984863968,1.07,1.88,-0.81,600,Perovskite,Thin Film,bulk,,,LAO,IEDP/SIMS,4.70E-16,4.50E-11,6.50E-01,0.78,Kubicek,Cai,2013,10.1021/nn305987x,-2608,-5770,1456,2890,
La(0.8)Sr(0.2)Fe(0.8)Cr(0.2)O(3-x),46.3,103.2,1,91.9,168,LaFe,LaCr,SrFe,SrCr,0.971989629,1.07,1.796,-0.726,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,2.40E-11,2.70E-08,1.21E+00,1.65,Ramos,Atkinson,2004,10.1016/j.ssi.2004.03.001,-2496,-5490,1304,2510,
La(0.6)Sr(0.4)Fe(0.8)Cr(0.2)O(3-x),44.3,103.4,2,86.7,168.5,LaFe,LaCr,SrFe,SrCr,0.986802742,1.04,1.796,-0.756,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,2.00E-09,5.30E-08,1.53E+00,1.72,Ramos,Atkinson,2004,10.1016/j.ssi.2004.03.001,-2284,-4960,1300,2500,
La(0.4)Sr(0.6)Fe(0.8)Cr(0.2)O(3-x),42.2,103.6,2,81.6,169,LaFe,LaCr,SrFe,SrCr,1.001615855,1.01,1.796,-0.786,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,1.30E-08,1.90E-07,1.21E+00,0.29,Ramos,Atkinson,2004,10.1016/j.ssi.2004.03.001,-2072,-4430,1296,2490,
La(0.9)Sr(0.1)CoO(3-x),48.1,102.1,0.5,96.4,165.3,LaCo,SrCo,,,0.977908282,1.085,1.88,-0.795,773.99,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,1.30E-14,2.80E-06,2.41E+00,1.91,Routbort,Doshi,1996,10.1016/S0167-2738(96)00402-X,-2714,-6035,1458,2895,
GdBaCo(2)O(5+x),54.7,107.2,,103.1,166.3,,,,,,,,,610.13,Double Perovskite,Thin Film,directional,,longitudinal,STO,IEDP/SIMS,2.80E-11,1.40E-08,6.90E-01,0.72,Zapata,Burriel,2013,10.1039/c3ta10749c,-2355.555556,-4675,1477.777778,2700,
GdBaCo(2)O(5+x),54.7,107.2,,103.1,166.3,,,,,,,,,610.13,Double Perovskite,Thin Film,directional,,longitudinal,NGO,IEDP/SIMS,4.10E-12,1.40E-08,8.90E-01,0.72,Zapata,Burriel,2013,10.1039/c3ta10749c,-2355.555556,-4675,1477.777778,2700,
GdBaCo(2)O(5+x),54.7,107.2,,103.1,166.3,,,,,,,,,657.46,Double Perovskite,Thin Film,directional,,transverse,STO,IEDP/SIMS,,2.00E-08,,0.59,Zapata,Burriel,2013,10.1039/c3ta10749c,-2355.555556,-4675,1477.777778,2700,
GdBaCo(2)O(5+x),54.7,107.2,,103.1,166.3,,,,,,,,,657.46,Double Perovskite,Thin Film,directional,,transverse,NGO,IEDP/SIMS,,1.90E-08,,0.46,Zapata,Burriel,2013,10.1039/c3ta10749c,-2355.555556,-4675,1477.777778,2700,
Ba(0.5)Sr(0.5)Co(0.8)Fe(0.2)O(3-x),43.8,104.7,8.5,93.4,171.8,BaCo,BaFe,SrCo,SrFe,1.065712846,0.92,1.87,-0.95,600,Perovskite,Thin Film,bulk,,,,ECR,,1.00E-07,,0.96,Burriel,Niedrig,2010,10.1016/j.ssi.2010.03.005,-1612,-3280,1318,2545,
La(0.5)Sr(0.5)CoO(3-x),44,102.5,2.5,86.1,166.3,LaCo,SrCo,,,1.005731028,1.025,1.88,-0.855,765.11,Perovskite,Thin Film,bulk,,,,ECR,,1.40E-08,,1.52,Chen,Wang,2002,10.1016/S0167-2738(01)01031-1,-2290,-4975,1450,2875,
GdBaCo(2)O(6-x),50.8,102.5,,103.1,166.3,,,,,,,,,1000,Double Perovskite,Ceramic,bulk,,,,IEDP/SIMS,1.30E-08,,9.00E-01,,Tsvetkov,Ananjev,2014,10.1039/c4dt01486c,-2170,-4675,1380,2700,
Sr(0.5)Sm(0.5)CoO(3-x),45.2,101.5,7.5,89,163.8,SrCo,SmCo,,,0.984623363,1.06,1.88,-0.82,389,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,1.40E-16,1.60E-11,1.20E+00,0.85,Yeh,Routbort,2013,10.1016/j.ssi.2012.11.024,-2290,-4975,1450,2875,
Sr(0.5)Sm(0.5)CoO(3-x),45.2,101.5,7.5,89,163.8,SrCo,SmCo,,,0.984623363,1.06,1.88,-0.82,747.94,Perovskite,Ceramic,bulk,,,,ECR,3.00E-09,1.40E-07,1.26E+00,0.68,Yeh,Routbort,2013,10.1016/j.ssi.2012.11.024,-2290,-4975,1450,2875,
Sr(0.7)Ce(0.3)MnO(3-x),41.3,103.1,4.5,79.2,167.8,SrMn,CeMn,,,1.012582429,1.001,1.55,-0.549,972.76,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,1.70E-13,9.10E-09,3.39E+00,1.84,Kuritsyna,Sinitsyn,2014,10.1016/j.ssi.2013.11.013,-1778,-3695,1266,2415,
BaTiO3,46.64,107,,92.6,177.5,BaTi,,,,,0.89,1.62,-0.73,1023.33,Perovskite,Ceramic,bulk,nanocrystals,,,IEDP/SIMS,2.10E-14,8.30E-09,1.42E+00,1.5,De Souza,Voisin,2014,10.1039/c3cp53979b,-1120,-2050,1080,1950,
Pr(1.6)Sr(0.4)CuO(3.98),55.5,107.4,3,108,170.3,PrCu,SrCu,,,,1.094,1.9,-0.806,972.76,Ruddlesden-Popper,Ceramic,bulk,,,,IEDP/SIMS,7.60E-08,7.90E-10,3.00E+00,0.881,Mazo,Kazakov,2014,10.1016/j.ssi.2014.01.039,-2932.664756,-6160,1382.52149,2553.333333,
Pr(2)NiO(4+x),57.8,106.4,,113.5,168.3,PrNi,,,,0.844992604,1.13,1.91,-0.78,788.02,Ruddlesden-Popper,Single Crystal,directional,,longitudinal,,IEDP/SIMS,2.50E-08,3.50E-08,6.70E-01,1.17,Bassat,Burriel,2013,10.1021/jp409057k,-3142.857143,-6666.666667,1385.714286,2566.666667,
Pr(2)NiO(4+x),57.8,106.4,,113.5,168.3,PrNi,,,,0.844992604,1.13,1.91,-0.78,788.02,Ruddlesden-Popper,Single Crystal,directional,,transverse,,IEDP/SIMS,2.20E-11,4.00E-09,1.10E+00,0.81,Bassat,Burriel,2013,10.1021/jp409057k,-3142.857143,-6666.666667,1385.714286,2566.666667,
Nd(2)NiO(4+x),58.7,106.4,,115.7,168.3,NdNi,,,,0.943987553,1.14,1.91,-0.77,777.6,Ruddlesden-Popper,Single Crystal,directional,,longitudinal,,IEDP/SIMS,4.00E-09,4.30E-08,1.40E+00,1.05,Bassat,Burriel,2013,10.1021/jp409057k,-3142.857143,-6666.666667,1385.714286,2566.666667,
Nd(2)NiO(4+x),58.7,106.4,,115.7,168.3,NdNi,,,,0.943987553,1.14,1.91,-0.77,777.6,Ruddlesden-Popper,Single Crystal,directional,,transverse,,IEDP/SIMS,7.10E-12,2.10E-09,1.30E+00,1.75,Bassat,Burriel,2013,10.1021/jp409057k,-3142.857143,-6666.666667,1385.714286,2566.666667,
SrTi(0.65)Fe(0.35)O(3),37.3,104,0,69.1,170,SrTi,SrFe,,,,0.95,1.6935,-0.7435,973.71,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,2.40E-14,1.60E-10,9.20E-01,1.66,Argirusis,Jomard,2011,10.1016/j.ssi.2010.02.016,-1451,-2877.5,1206,2265,
Pr(2)CuO(4),58.5,106.4,,115.1,168.3,PrCu,,,,0.871126395,1.13,1.9,-0.77,972.76,Ruddlesden-Popper,Ceramic,bulk,,,,IEDP/SIMS,5.90E-13,1.50E-08,3.01E+00,2.04,Kaluzhskikh,Kazakov,2011,10.1016/j.jssc.2011.01.035,-3228.571429,-6866.666667,1385.714286,2566.666667,
Sr(0.75)Y(0.25)CoO(2.62),40.86,105.5,5,73.4,165,SrCo,Yco,,,,1.0175,1.88,-0.8625,777.4,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,1.10E-11,1.20E-08,1.55E+00,1.69,Rupasov,Berenov,2011,10.1016/j.ssi.2011.06.016,-2166.666667,-4350,1495.670996,2800,
PrBaCo(2)O(5+x),52.9,107.8,,99,167.5,,,,,,,,0,972.21,Double Perovskite,Ceramic,bulk,,,,ECR,5.00E-08,1.70E-06,5.80E-01,0.46,Grimaud,Bassat,2014,10.1039/c3ta13956e,-2355.555556,-4675,1477.777778,2700,
PrBaCo(1.5)Fe(0.5)O(5+x),52.7,108.1,1.25,98.6,168.1,,,,,,,,0,874.13,Double Perovskite,Ceramic,bulk,,,,ECR,2.10E-08,6.80E-07,3.40E-01,0.48,Grimaud,Bassat,2014,10.1039/c3ta13956e,-2316.666667,-4587.5,1405.555556,2537.5,
La(0.6)Sr(0.4)CoO(3),45.1,102.4,2,88.7,166,LaCo,SrCo,,,0.998775341,1.04,1.88,-0.84,790.26,Ruddlesden-Popper,Ceramic,bulk,,,,IEDP/SIMS,2.10E-12,7.90E-08,1.84E+00,0.76,Berenov,Atkinson,2010,10.1016/j.ssi.2010.04.031,-2396,-5240,1452,2880,
La(.9)Sr(.1)Ga(.8)Mg(.2)O(3),48.5,101.9,4.5,97.2,164.8,LaGa,LaMg,SrGa,SrMg,,1.085,1.71,-0.625,927.4,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,9.80E-07,2.00E-07,8.00E-01,1.2,Tatsumi,Kilner,1998,10.1016/S0167-2738(98)00390-7,-3186,-7215,1242,2355,
La(.8)Sr(.2)Ga(.8)Mg(.2)O(3),47.5,102,5,94.6,165,LaGa,LaMg,SrGa,SrMg,,1.07,1.71,-0.64,1070,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,5.00E-06,3.00E-06,1.10E+00,1.1,Tatsumi,Kilner,1998,10.1016/S0167-2738(98)00390-7,-3080,-6950,1240,2350,
Pr(1.9)Ni(0.75)Cu(0.25)O(4+x),56.8,105.3,0,113,167.8,PrNi,PrCu,,,0.851526051,1.13,1.9075,-0.7775,831.32,Ruddlesden-Popper,Ceramic,bulk,,,,IEDP/SIMS,3.30E-08,1.10E-07,6.40E-01,0.76,Hyodo,Tominaga,2014,10.1016/j.ssi.2013.12.036,-3035.714286,-6620.689655,1348.571429,2548.275862,
Pr(1.9)Ni(0.7125)Cu(0.2375)Ga(0.05)O(4+x),56.8,105.3,,113,167.8,PrNi,PrCu,PrGa,,0.850781066,1.13,1.902625,-0.772625,679.67,Ruddlesden-Popper,Ceramic,bulk,,,,IEDP/SIMS,6.70E-09,4.90E-08,0.57,0.62,Hyodo,Tominaga,2014,10.1016/j.ssi.2013.12.036,-3066.785714,-6695.689655,1351.428571,2555.172414,
La(1.9)Sr(0.1)NiO(4+x),56.5,109.4,0.25,110.5,175.2,LaNi,SrNi,,,0.980426119,1.0925,1.91,-0.8175,869.57,Ruddlesden-Popper,Ceramic,bulk,,,,GPA,,6.67E-09,,1.39,Li,Haugsrud,2011,10.1016/j.ssi.2010.10.009,-3067.142857,-6490,1384.285714,2563.333333,
La(1.8)Sr(0.2)NiO(4+x),55.8,109.4,0.5,108.8,175.3,LaNi,SrNi,,,0.985044881,1.085,1.91,-0.825,869.57,Ruddlesden-Popper,Ceramic,bulk,,,,GPA,,4.20E-09,,0.99,Li,Haugsrud,2011,10.1016/j.ssi.2010.10.009,-2991.428571,-6313.333333,1382.857143,2560,
La(1.9)Sr(0.1)NiO(4+x),56.5,109.4,0.25,110.5,175.2,LaNi,SrNi,,,0.980426119,1.0925,1.91,-0.8175,1148.5,Ruddlesden-Popper,Ceramic,bulk,,,,GPA,4.30E-08,,6.20E-01,,Li,Haugsrud,2011,10.1016/j.ssi.2010.10.009,-3067.142857,-6490,1384.285714,2563.333333,
La(1.8)Sr(0.2)NiO(4+x),55.8,109.4,0.5,108.8,175.3,LaNi,SrNi,,,0.985044881,1.085,1.91,-0.825,1203.95,Ruddlesden-Popper,Ceramic,bulk,,,,GPA,3.30E-09,,1.28E+00,,Li,Haugsrud,2011,10.1016/j.ssi.2010.10.009,-2991.428571,-6313.333333,1382.857143,2560,
La(2)NiO(4+x),57.2,109,,112.2,175,LaNi,,,,0.975807358,1.1,1.91,-0.81,912.41,Ruddlesden-Popper,Ceramic,bulk,,,,ECR,2.20E-08,2.50E-06,8.70E-01,1.55,Li,Haugsrud,2012,10.1016/j.ssi.2011.11.011,-3142.857143,-6666.666667,1385.714286,2566.666667,
La(2)NiO(4+x),57.2,109,,112.2,175,LaNi,,,,0.975807358,1.1,1.91,-0.81,1000,Ruddlesden-Popper,Ceramic,bulk,silver layer added,,,ECR,2.10E-07,1.30E-06,5.70E-01,1.38,Egger,Sitte,2014,10.1016/j.ssi.2014.01.038,-3142.857143,-6666.666667,1385.714286,2566.666667,
Ba(0.5)Sr(0.5)Co(0.8)Fe(0.2)O(3-x),43.8,104.7,8.5,85.4,171.8,BaCo,BaFe,SrCo,SrFe,1.065712846,,1.87,-1.87,873.15,Perovskite,Ceramic,bulk,,,,ECR,1.40E-07,,1.13E+00,,Chen,Shao,2011,10.1016/j.ijhydene.2011.02.087,-1612,-3280,1318,2545,
La(0.7125)Sr(0.2375)Cr(0.5)Mn(0.5)O(3-x),44.7,102.3,1.1875,88.8,167.4,LaCr,LaMn,SrCr,SrMn,0.989829662,,1.605,-1.605,1173.15,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,1.00E-10,9.70E-09,8.00E-01,2.4,Raj,Kilner,2006,10.1016/j.ssi.2006.04.011,-2365.561224,-5187.820513,1499.234694,3010.897436,
La(1.05)Sr(0.95)Ga(3)O(7+x),45.9,100.4,,87.7,157,LaGa,SrGa,,,,,,0,973.15,Melilite,Ceramic,bulk,,,,IEDP/SIMS,2.56E-10,9.71E-10,8.80E-01,2.28,Raj,Skinner,2005,10.1016/j.ssi.2004.12.009,-2830.416667,-6093,1275.416667,2361,
Ce(0.69)Gd(0.31)O(2-x),59.1,101.1,,145.4,183.5,CeGd,,,,0.571794731,,,0,1000,Electrolyte,Single Crystal,bulk,,,,IEDP/SIMS,5.10E-08,1.30E-08,1.16E+00,0.62,Ruiz-Trejo,Sirman,1998,10.1016/S0167-2738(98)00323-3,-3500,-9500,1366.666667,3100,
((ZrO2)_.92 (Y2O3)_.08 )_.533 (La_.8 Sr_.2 Mn O3)_.129,42.9,96.4,,91.2,161.6,,,,,,,,0,1090.38,Perovskite/Electrolyte,Ceramic,bulk,,,,IEDP/SIMS,5.50E-09,6.60E-08,1.34E+00,1.99E+00,Ji,Kilner,2005,10.1016/j.ssi.2004.11.019,-1951.65373,-4556.076964,1233.85939,2550.482223,
((ZrO2)_.92 (Y2O3)_.08 )_.457 (La_.8 Sr_.2 Mn O3)_.173,43.4,97.3,,91.3,162.5,,,,,,,,0,1072.04,Perovskite/Electrolyte,Ceramic,bulk,,,,IEDP/SIMS,2.20E-09,3.10E-08,1.33E+00,1.76E+00,Ji,Kilner,2005,10.1016/j.ssi.2004.11.019,-1999.797325,-4625.03216,1239.55273,2534.060698,
(ZrO2)_0.92 (Y2O3)_0.08,41.6,93.7,,90.9,158.7,,,,,,,,0,1072.38,Electrolyte,Ceramic,bulk,,,,IEDP/SIMS,1.10E-07,8.90E-09,5.30E-01,1.32E+00,Ji,Kilner,2005,10.1016/j.ssi.2004.11.019,-1815.189873,-3557.575758,1217.721519,2127.272727,
La(0.8)Sr(0.2)MnO(3+x),46.3,103.2,1,91.8,168,LaMn,SrMn,,,0.971569752,1.07,1.55,-0.48,1071.81,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,5.40E-15,2.40E-09,2.77E+00,1.56,Ji,Kilner,2005,10.1016/j.ssi.2004.11.019,-2308,-5020,1276,2440,
(ZrO2)_0.905 (Y2O3)_0.095,41.7,94.1,,90.8,159.3,,,,,,,,0,1000,Electrolyte,Ceramic,bulk,,,,IEDP/SIMS,5.30E-08,3.10E-09,1.22E+00,0.77,Sirman,Manning,1996,10.1016/S0167-2738(96)00514-0,-1876.645768,-3578.985507,1220.846395,2063.043478,
Ce(0.9)Gd(0.1)O(2-x),57.9,101.5,,141.8,184.5,CeGd,,,,0.828688016,,,0,1000,Electrolyte,Ceramic,bulk,,,,IEDP/SIMS,1.80E-09,2.40E-08,9.00E-01,0.5,Sirman,Manning,1996,10.1016/S0167-2738(96)00514-0,-3500,-9500,1366.666667,3100,
(ZrO2)_0.9 (Y2O3)_0.1,41.7,94.2,,90.8,159.5,,,,,,,,0,1000,Electrolyte,Ceramic,bulk,,,,IEDP/SIMS,3.10E-08,,1.01E+00,,Weller,Herzog,2004,10.1016/j.ssi.2003.12.044,-1896.875,-3585.714286,1221.875,2042.857143,
(ZrO2)_0.82 (Y2O3)_0.18,42.2,96,,90.5,162.6,,,,,,,,0,1000,Electrolyte,Ceramic,bulk,,,,IEDP/SIMS,2.80E-09,,1.02E+00,,Weller,Herzog,2004,10.1016/j.ssi.2003.12.044,-2204.166667,-3672.093023,1237.5,1783.72093,
(ZrO2)_0.9 (Y2O3)_0.1,41.7,94.2,,90.8,159.5,,,,,,,,0,1000,Electrolyte,Ceramic,bulk,,,,IEDP/SIMS,3.10E-08,,9.90E-01,,Kilo,Argirusis,2003,10.1039/b300151m,-1896.875,-3585.714286,1221.875,2042.857143,
(ZrO2)_0.82 (Y2O3)_0.18,42.2,96,,90.5,162.6,,,,,,,,0,1000,Electrolyte,Ceramic,bulk,,,,IEDP/SIMS,2.60E-09,,1.02E+00,,Kilo,Argirusis,2003,10.1039/b300151m,-2204.166667,-3672.093023,1237.5,1783.72093,
UO_2.002,90,98.3,,238,175,,,,,,,,0,1000,Other,Ceramic,bulk,,,,IEDP/MS,5.30E-13,,2.86E+00,,Auskern,Belle,1961,10.1016/0022-3115(61)90194-5,,,,,
UO_2.063,88.5,97.5,,238,175,,,,,,,,0,700,Other,Ceramic,bulk,,,,IEDP/MS,1.30E-12,,1.37E+00,,Auskern,Belle,1961,10.1016/0022-3115(61)90194-5,,,,,
La(2)NiO(4+x),57.2,109,,112.2,175,,,,,0.975807358,1.1,1.91,-0.81,666.67,Ruddlesden-Popper,Thin Film,directional,,longitudinal,STO,IEDP/SIMS,6.80E-10,5.90E-08,1.90E-01,0.77,Burriel,Garcia,2008,10.1039/b711341b,-3142.857143,-6666.666667,1385.714286,,
La(2)NiO(4+x),57.2,109,,112.2,175,,,,,0.975807358,1.1,1.91,-0.81,666.67,Ruddlesden-Popper,Thin Film,directional,,transverse,STO,IEDP/SIMS,,1.10E-09,,0.38,Burriel,Garcia,2008,10.1039/b711341b,-3142.857143,-6666.666667,1385.714286,,
La(2)NiO(4+x),57.2,109,,112.2,175,,,,,0.975807358,1.1,1.91,-0.81,666.67,Ruddlesden-Popper,Thin Film,directional,,longitudinal,NGO,IEDP/SIMS,6.80E-10,5.90E-08,1.90E-01,0.77,Burriel,Garcia,2008,10.1039/b711341b,-3142.857143,-6666.666667,1385.714286,,
La(2)NiO(4+x),57.2,109,,112.2,175,,,,,0.975807358,1.1,1.91,-0.81,666.67,Ruddlesden-Popper,Thin Film,directional,,transverse,NGO,IEDP/SIMS,,1.10E-09,,0.38,Burriel,Garcia,2008,10.1039/b711341b,-3142.857143,-6666.666667,1385.714286,,
Ca(2)MgSi(2)O(7),27.4,120.9,,32.1,146,,,,,,,,0,1258.34,Melilite,Single Crystal,directional,,longitudinal,,IEDP/SIMS,2.60E-18,,3.11E+00,,Yurimoto,Morioka,1989,10.1016/0016-7037(89)90360-8,,,,,
Ca(2)MgSi(2)O(7),27.4,120.9,,32.1,146,,,,,,,,0,1258.34,Melilite,Single Crystal,directional,,transverse,,IEDP/SIMS,1.10E-18,,2.23E+00,,Yurimoto,Morioka,1989,10.1016/0016-7037(89)90360-8,,,,,
La(0.2175)Pr(0.2175)Ba(0.145)Sr(0.4)Fe(0.8)Co(0.2)O(3-x),44.2,103,,87,168.1,,,,,,0.994075,1.84,-0.845925,919,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,2.82E-08,2.56E-08,1.41E+00,2.3,Vert,Serra,2012,10.1016/j.jpowsour.2012.04.041,,,,,
La(0.5)Sr(0.5)Mn(0.5)Ti(0.5)O(3-x),42.5,103.5,2.5,82.3,168.75,,,,,,1.025,1.585,-0.56,1092.54,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,4.20E-15,1.60E-10,2.43E+00,2.6,Kolotygin,Tsipis,2012,10.1007/s10008-012-1703-x,,,,,
La(0.8)Sr(0.2)MnO(3+x),46.3,103.2,1,91.8,168,,,,,0.9715697517,1.07,1.55,-0.48,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,7.90E-16,4.60E-11,3.24E+00,3.1,Kolotygin,Tsipis,2012,10.1007/s10008-012-1703-x,,,,,
La(0.8)Sr(0.2)MnO(3+x),46.3,103.2,1,91.8,168,,,,,0.9715697517,1.07,1.55,-0.48,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,7.10E-16,2.20E-09,2.80E+00,1.2,Petitjean,Caboche,2005,10.1016/j.jeurceramsoc.2005.03.117,,,,,
La(0.8)Sr(0.2)Mn(0.8)Fe(0.2)O(3+x),46.4,103.2,1,91.9,168,,,,,0.970416542,1.07,1.606,-0.536,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,1.40E-15,3.80E-10,2.34E+00,1.24,Petitjean,Caboche,2005,10.1016/j.jeurceramsoc.2005.03.117,,,,,
La(0.8)Sr(0.2)Mn(0.5)Fe(0.5)O(3+x),46.4,103.2,1,92,168,,,,,0.968686728,1.07,1.69,-0.62,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,3.00E-16,2.30E-10,2.23E+00,1.56,Petitjean,Caboche,2005,10.1016/j.jeurceramsoc.2005.03.117,,,,,
La(0.8)Sr(0.2)Mn(0.2)Fe(0.8)O(3+x),46.5,103.2,1,92.2,168,,,,,0.966956914,1.07,1.774,-0.704,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,5.70E-14,1.90E-09,2.12E+00,1.76,Petitjean,Caboche,2005,10.1016/j.jeurceramsoc.2005.03.117,,,,,
La(0.8)Sr(0.2)FeO(3+x),46.5,103.2,1,92.2,168,,,,,0.965803704,1.07,1.83,-0.76,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,5.50E-12,9.40E-08,1.38E+00,0.96,Petitjean,Caboche,2005,10.1016/j.jeurceramsoc.2005.03.117,,,,,
(ZrO2)_0.905 (Y2O3)_0.095,41.7,94.1,,90.8,159.3,,,,,,,,0,774,Electrolyte,Single Crystal,bulk,rough surface,,,IEDP/SIMS,7.90E-10,2.00E-08,9.40E-01,1.1,Pietrowski,De Souza,2013,10.1002/fuce.201300087,,,,,
(ZrO2)_0.905 (Y2O3)_0.095,41.7,94.1,,90.8,159.3,,,,,,,,0,774,Electrolyte,Single Crystal,bulk,smooth surface,,,IEDP/SIMS,3.40E-11,6.40E-09,9.40E-01,1.1,Pietrowski,De Souza,2013,10.1002/fuce.201300087,,,,,
(ZrO2)_0.905 (Y2O3)_0.095,41.7,94.1,,90.8,159.3,,,,,,,,0,666.67,Electrolyte,Single Crystal,bulk,,,,IEDP/SIMS,1.50E-14,3.40E-11,1.11E+00,1.13,Riemann,Planck,2014,10.1073/pnas.0730783100,,,,,
Sr(3)YCo(4)O(10.5),40.86,105.5,,73.4,165,,,,,,,,0,1000,Perovskite - is it a perovskite?,Ceramic,bulk,,,,ECR,8.00E-09,2.00E-06,1.56E+00,1.14,Rupasov,Makarenko,2014,10.1016/j.ssi.2014.07.010,,,,,
La(9.33)Si(6)O(26) LSO,45.49,97.73,,95.53,161.73,,,,,,,,0,600,Electrolyte,Ceramic,bulk,,,,IEDP/SIMS,7.80E-11,2.78E-09,6.70E-01,1.53,Argirusis,Jothinathan,2014,10.1016/j.ssi.2014.01.035,,,,,
La(9.33)Mg(0.9)Si(5.1)O(26) LMSO,45.67,98.43,,98.05,166.28,,,,,,,,0,600,Electrolyte,Ceramic,bulk,,,,IEDP/SIMS,2.80E-09,3.53E-08,6.70E-01,1.33,Argirusis,Jothinathan,2014,10.1016/j.ssi.2014.01.035,,,,,
La(9.83)Al(1.5)Si(4.5)O(26) LASO,46.58,99.43,,96.8,164.2,,,,,,,,0,600,Electrolyte,Ceramic,bulk,,,,IEDP/SIMS,1.58E-09,2.24E-08,9.00E-01,1.52,Argirusis,Jothinathan,2014,10.1016/j.ssi.2014.01.035,,,,,
La(9.83)Fe(1.5)Si(4.5)O(26) LFSO,47.61,99.97,,99.53,165.63,,,,,,,,0,600,Electrolyte,Ceramic,bulk,,,,IEDP/SIMS,6.05E-10,7.45E-09,1.16E+00,1.8,Argirusis,Jothinathan,2014,10.1016/j.ssi.2014.01.035,,,,,